Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0059742/?ref_=sr_t_1,8200000.0,159484051.0,159287539.0,413497.0,['Robert Wise'],"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']","['Classic Musical', 'Biography', 'Drama', 'Family', 'Musical', 'Romance']",['United States'],"['Felsenreitschule, Salzburg, Austria']","['Robert Wise Productions', 'Argyle Enterprises']","['English', 'German']",0,13,0,1965
https://www.imdb.com/title/tt0059113/?ref_=sr_t_2,11000000.0,111926200.0,111721910.0,,['David Lean'],"['Boris Pasternak', 'Robert Bolt']","['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin']","['Romantic Epic', 'Tragedy', 'Drama', 'Romance', 'War']","['Italy', 'United Kingdom', 'United States']","['Morley Flats, Alberta, Canada']","['Metro-Goldwyn-Mayer (MGM)', 'Carlo Ponti Production', 'Sostar S.A.']","['English', 'Russian', 'French']",0,13,0,1965
https://www.imdb.com/title/tt0059800/?ref_=sr_t_3,9000000.0,63607066.0,63595658.0,,['Terence Young'],"['Richard Maibaum', 'John Hopkins', 'Jack Whittingham']","['Sean Connery', 'Claudine Auger', 'Adolfo Celi']","['Spy', 'Action', 'Adventure', 'Thriller']",['United Kingdom'],"['Sullivan Residence, Rock Point, Love Beach, off West Bay Street, North Shore, New Providence Island, Bahamas']",['Eon Productions'],"['English', 'French']",0,5,0,1965
https://www.imdb.com/title/tt0059578/?ref_=sr_t_4,600000.0,15000000.0,15000000.0,,['Sergio Leone'],"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']","['One-Person Army Action', 'Spaghetti Western', 'Drama', 'Western']","['Italy', 'Spain', 'West Germany']","['Mini Hollywood, Tabernas, Almería, Andalucía, Spain']","['Produzioni Europee Associate (PEA)', 'Arturo González Producciones Cinematográficas', 'Constantin Film']","['Italian', 'English']",0,0,0,1965
https://www.imdb.com/title/tt0063794/?ref_=sr_t_5,8000000.0,149485.0,148503.0,22976.0,['Sergey Bondarchuk'],"['Sergey Bondarchuk', 'Vasiliy Solovyov', 'Lev Tolstoy']","['Lyudmila Saveleva', 'Vyacheslav Tikhonov', 'Sergey Bondarchuk']","['Period Drama', 'War Epic', 'Drama', 'Romance', 'War']",['Soviet Union'],"['Borodino, Moskovskaya oblast, Russia']",['Mosfilm'],"['Russian', 'German', 'French']",0,3,0,1965
https://www.imdb.com/title/tt0059012/?ref_=sr_t_6,800000.0,126724.0,126724.0,13630.0,['Orson Welles'],"['William Shakespeare', 'Raphael Holinshed', 'Orson Welles']","['Orson Welles', 'Jeanne Moreau', 'Margaret Rutherford']","['Comedy', 'Drama', 'History', 'War']","['Spain', 'Switzerland', 'France']","['Pedraza, Segovia, Castilla y León, Spain']","['Internacional Films', 'Alpine Films']",['English'],0,2,1,1965
https://www.imdb.com/title/tt0059592/?ref_=sr_t_7,300000.0,148564.0,87011.0,7254.0,['Jean-Luc Godard'],"['Rémo Forlani', 'Jean-Luc Godard', 'Lionel White']","['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani']","['Crime', 'Drama', 'Romance']","['France', 'Italy']","[""L'Aygade, Hyères, Var, France""]","['Films Georges de Beauregard', 'Rome Paris Films', 'Société Nouvelle de Cinématographie (SNC)']","['French', 'English', 'Italian']",0,2,1,1965
https://www.imdb.com/title/tt0058898/?ref_=sr_t_8,220000.0,66076.0,47696.0,7298.0,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Paul Éluard']","['Eddie Constantine', 'Anna Karina', 'Akim Tamiroff']","['Hard-boiled Detective', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['France', 'Italy']","['Esso tower, La Défense, Hauts-de-Seine, France']","['André Michelin Productions', 'Filmstudio', 'Chaumiane']","['French', 'English', 'Spanish']",0,0,0,1965
https://www.imdb.com/title/tt0058888/?ref_=sr_t_9,,51451.0,46808.0,15942.0,['Akira Kurosawa'],"['Masato Ide', 'Hideo Oguni', 'Ryûzô Kikushima']","['Toshirô Mifune', 'Yûzô Kayama', 'Tsutomu Yamazaki']","['Medical Drama', 'Drama']",['Japan'],"['Toho Studios, Tokyo, Japan']","['Kurosawa Production Co.', 'Toho']",['Japanese'],0,2,0,1965
https://www.imdb.com/title/tt0059418/?ref_=sr_t_10,3800000.0,20807.0,20807.0,3520.0,['Sam Peckinpah'],"['Harry Julian Fink', 'Oscar Saul', 'Sam Peckinpah']","['Charlton Heston', 'Richard Harris', 'Jim Hutton']","['Adventure', 'Drama', 'War', 'Western']",['United States'],"['El Saltito waterfall, Nombre de Dios, Durango, Mexico']",['Jerry Bresler Productions'],"['English', 'French', 'Spanish']",0,0,0,1965
https://www.imdb.com/title/tt0060545/?ref_=sr_t_11,,18010.0,18010.0,9312.0,['Antonio Pietrangeli'],"['Antonio Pietrangeli', 'Ruggero Maccari', 'Ettore Scola']","['Stefania Sandrelli', 'Mario Adorf', 'Jean-Claude Brialy']",['Drama'],"['Italy', 'France', 'West Germany']","['Piazza del Duomo, Orvieto, Terni, Umbria, Italy']","['Ultra Film', 'Les Films du Siècle', 'Roxy Film']","['Italian', 'English']",0,2,0,1965
https://www.imdb.com/title/tt0059565/?ref_=sr_t_12,,15532.0,15532.0,4053.0,"['Claude Chabrol', 'Jean Douchet', 'Jean-Luc Godard']","['Claude Chabrol', 'Jean Douchet', 'Jean-Luc Godard']","['Jean-Pierre Andréani', 'Stéphane Audran', 'Nadine Ballot']","['Comedy', 'Drama']",['France'],"['Paris, France']","['Les Filmes du Cyprès', 'Les Films du Losange']",['French'],0,0,0,1965
https://www.imdb.com/title/tt0059709/?ref_=sr_t_13,,4650.0,4650.0,3378.0,['James Ivory'],"['Ruth Prawer Jhabvala', 'James Ivory']","['Shashi Kapoor', 'Felicity Kendal', 'Geoffrey Kendal']","['Drama', 'Romance']","['United States', 'India']","['Bombay, Hyderabad, Telangana, India']",['Merchant Ivory Productions'],"['English', 'Hindi']",0,0,0,1965
https://www.imdb.com/title/tt4775814/?ref_=sr_t_14,,3497.0,3497.0,1355.0,"['Thomas White', 'Allan Zion']","['Thomas White', 'Allan Zion']","['Wimme Andre', 'Melvin Clay', 'Tom Edmonston']",['Drama'],"['Belgium', 'United States']",['Belgium'],[],['English'],0,0,0,1965
https://www.imdb.com/title/tt0059245/?ref_=sr_t_15,20000000.0,,,,['George Stevens'],"['Fulton Oursler', 'Henry Denker', 'James Lee Barrett']","['Max von Sydow', 'Dorothy McGuire', 'Charlton Heston']","['Epic', 'Historical Epic', 'Biography', 'Drama', 'History']",['United States'],"['Arches National Park, Utah, USA']",['George Stevens Productions'],['English'],0,6,5,1965
https://www.imdb.com/title/tt0059243/?ref_=sr_t_16,12000000.0,,,,['Blake Edwards'],"['Arthur A. Ross', 'Blake Edwards']","['Tony Curtis', 'Natalie Wood', 'Jack Lemmon']","['Parody', 'Road Trip', 'Satire', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Family', 'Romance', 'Sport']",['United States'],"['Anif Palace, Anif, Salzburg, Austria']","['Patricia Productions', 'Warner Bros.', 'Jalem Productions']","['English', 'Russian', 'Latin']",0,14,0,1965
https://www.imdb.com/title/tt0059878/?ref_=sr_t_17,750000.0,,,,['Bert I. Gordon'],"['H.G. Wells', 'Alan Caillou', 'Bert I. Gordon']","['Tommy Kirk', 'Johnny Crawford', 'Beau Bridges']","['Comedy', 'Sci-Fi']",['United States'],"['Whisky a Go Go - 8901 Sunset Blvd., Hollywood, Los Angeles, California, USA']","['Berkeley Productions', 'Embassy Pictures', 'Joseph E. Levine Productions']",['English'],0,0,0,1965
