Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=sr_t_1,2008,2h 32m,PG-13,9.0,3M
2. Iron Man,https://www.imdb.com/title/tt0371746/?ref_=sr_t_2,2008,2h 6m,PG-13,7.9,1.2M
3. Indiana Jones and the Kingdom of the Crystal Skull,https://www.imdb.com/title/tt0367882/?ref_=sr_t_3,2008,2h 2m,PG-13,6.2,499K
4. Hancock,https://www.imdb.com/title/tt0448157/?ref_=sr_t_4,2008,1h 32m,R,6.4,523K
5. WALL·E,https://www.imdb.com/title/tt0910970/?ref_=sr_t_5,2008,1h 38m,G,8.4,1.2M
6. Kung Fu Panda,https://www.imdb.com/title/tt0441773/?ref_=sr_t_6,2008,1h 32m,PG,7.6,541K
7. Twilight,https://www.imdb.com/title/tt1099212/?ref_=sr_t_7,2008,2h 2m,PG-13,5.3,499K
8. Madagascar: Escape 2 Africa,https://www.imdb.com/title/tt0479952/?ref_=sr_t_8,2008,1h 29m,PG,6.6,255K
9. Quantum of Solace,https://www.imdb.com/title/tt0830515/?ref_=sr_t_9,2008,1h 46m,PG-13,6.5,479K
10. Horton Hears a Who!,https://www.imdb.com/title/tt0451079/?ref_=sr_t_10,2008,1h 26m,G,6.8,153K
11. Sex and the City,https://www.imdb.com/title/tt1000774/?ref_=sr_t_11,2008,2h 25m,R,5.7,129K
12. Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=sr_t_12,2008,1h 56m,R,8.1,830K
13. Taken,https://www.imdb.com/title/tt0936501/?ref_=sr_t_13,2008,1h 30m,PG-13,7.7,648K
14. Mamma Mia!,https://www.imdb.com/title/tt0795421/?ref_=sr_t_14,2008,1h 48m,PG-13,6.5,285K
15. Marley & Me,https://www.imdb.com/title/tt0822832/?ref_=sr_t_15,2008,1h 55m,PG,7.0,171K
16. The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/?ref_=sr_t_16,2008,2h 30m,PG,6.5,230K
17. Slumdog Millionaire,https://www.imdb.com/title/tt1010048/?ref_=sr_t_17,2008,2h,R,8.0,889K
18. The Incredible Hulk,https://www.imdb.com/title/tt0800080/?ref_=sr_t_18,2008,1h 52m,PG-13,6.6,536K
